"Word","CEFR"
"bruka","A1"
"mål","A1"
"par","A1"
"sent","A1"
"ekonomisk","A1"
"kl. (klockan)","A1"
"dålig","A1"
"namn","A1"
"igen","A1"
"verkligen","A1"
"mena","A1"
"fortfarande","A1"
"grupp","A1"
"beslut","A1"
"även om","A1"
"enda","A1"
"bort","A1"
"slå","A1"
"möjlig","A1"
"många","A1"
"hända","A1"
"ämna","A1"
"endast","A1"
"miljon","A1"
"vidare","A1"
"ganska","A1"
"svar","A1"
"varenda","A1"
"istället (el. i stället)","A1"
"först","A1"
"arbeta","A1"
"heller","A1"
"riktigt","A1"
"hand","A1"
"uppgift","A1"
"fungera (vardagl. funka)","A1"
"beta","A1"
"köpa","A1"
"nästan","A1"
"bra","A1"
"bland","A1"
"december","A1"
"sitta","A1"
"precis","A1"
"hennes","A1"
"åta sig","A1"
"bland annat (förk. bl.a.)","A1"
"krig","A1"
"till exempel (förk. t.ex., t ex)","A1"
"tillsammans","A1"
"henne","A1"
"intressant","A1"
"val","A1"
"kyrka","A1"
"egentligen","A1"
"inför","A1"
"historia","A1"
"jobb","A1"
"berätta","A1"
"vanlig","A1"
"rätta","A1"
"januari","A1"
"information","A1"
"flest","A1"
"ung","A1"
"en","A1"
"tillbaka (vardagl. tillbaks)","A1"
"film","A1"
"ibland (el. i bland)","A1"
"medan (vardagl. medans)","A1"
"slut","A1"
"massa","A1"
"tanke","A1"
"akt","A1"
"procent","A1"
"månad","A1"
"sista","A1"
"ätt","A1"
"sluta","A1"
"verksamhet","A1"
"rätt","A1"
"samtidigt","A1"
"emot","A1"
"stöd","A1"
"familj","A1"
"vem","A1"
"åka","A1"
"betala","A1"
"kommun","A1"
"resultat","A1"
"utveckla","A1"
"föra","A1"
"hjälpa","A1"
"nästa","A1"
"nära","A1"
"nej","A1"
"text","A1"
"exempel","A1"
"särskilt","A1"
"debatt","A1"
"när det gäller","A1"
"på grund av (förk. p.g.a, pga., p g a)","A1"
"situation","A1"
"europeisk","A1"
"form","A1"
"orm","A1"
"råd","A1"
"november","A1"
"makt","A1"
"social","A1"
"vinna","A1"
"kvar","A1"
"system","A1"
"vänta","A1"
"tidig","A1"
"åtgärd","A1"
"krav","A1"
"skillnad","A1"
"riksdag","A1"
"internationell","A1"
"nationell","A1"
"jobba","A1"
"klara","A1"
"typ","A1"
"kring","A1"
"båda (vardgl. bägge)","A1"
"cirka (förk. ca)","A1"
"tur","A1"
"polis","A1"
"medium","A1"
"låg","A1"
"varandra (vardagl. varann)","A1"
"mun","A1"
"ansvar","A1"
"roll","A1"
"regel","A1"
"oktober","A1"
"prata","A1"
"organisation","A1"
"medlem","A1"
"fråga","A1"
"anmäla","A1"
"nå","A1"
"bo","A1"
"krona","A1"
"stämma","A1"
"rättighet","A1"
"sedan (vardagl. sen)","A1"
"bakom","A1"
"efter att","A1"
"därmed","A1"
"med","A1"
"hus","A1"
"vän","A1"
"dela","A1"
"februari","A1"
"kort","A1"
"grund","A1"
"runt","A1"
"framtid","A1"
"köra","A1"
"etikett","A1"
"fri","A1"
"behov","A1"
"timme (el. timma)","A1"
"september","A1"
"hoppas","A1"
"ensam","A1"
"snart","A1"
"rätt","A1"
"förklara","A1"
"ledning","A1"
"intresse","A1"
"tvinga","A1"
"påverka","A1"
"anledning","A1"
"titta","A1"
"minska","A1"
"i alla fall (el. iallafall; förk. iaf)","A1"
"däremot","A1"
"direkt","A1"
"ekonomi","A1"
"bestämma","A1"
"skicka","A1"
"trots","A1"
"åsikt","A1"
"diskussion","A1"
"rad","A1"
"faktum","A1"
"tidning","A1"
"mening","A1"
"utanför","A1"
"rätt","A1"
"gemensam","A1"
"klar","A1"
"juni","A1"
"is","A1"
"bil","A1"
"myndighet","A1"
"nummer (förk. nr)","A1"
"allmän","A1"
"musik","A1"
"ändra","A1"
"träffa","A1"
"ihop","A1"
"diskutera","A1"
"driva","A1"
"sälja","A1"
"sakna","A1"
"program","A1"
"ifrån","A1"
"länka","A1"
"kunskap","A1"
"snabbt","A1"
"maj","A1"
"amerikansk","A1"
"tyda","A1"
"särskild","A1"
"början","A1"
"naturligtvis","A1"
"skäl","A1"
"fin","A1"
"genomföra","A1"
"liksom","A1"
"via","A1"
"före","A1"
"dom","A1"
"risk","A1"
"enkel","A1"
"alls","A1"
"pris","A1"
"räkna","A1"
"beskriva","A1"
"hem","A1"
"möta","A1"
"såsom","A1"
"idé","A1"
"gram","A1"
"förra","A1"
"tjänst","A1"
"heta","A1"
"kultur","A1"
"äta","A1"
"syfte","A1"
"princip","A1"
"flytta","A1"
"ute","A1"
"utgöra","A1"
"politiker","A1"
"lätt","A1"
"förälder","A1"
"marknad","A1"
"nämligen","A1"
"tydlig","A1"
"utbildning","A1"
"röra","A1"
"nivå","A1"
"april","A1"
"mängd","A1"
"betydelse","A1"
"kristen","A1"
"dö","A1"
"mars","A1"
"allt","A1"
"kväll","A1"
"bildning","A1"
"länk","A1"
"växa","A1"
"per","A1"
"offentlig","A1"
"såväl","A1"
"våga","A1"
"vatten","A1"
"håll","A1"
"mänsklig","A1"
"demokrati","A1"
"fatta","A1"
"jord","A1"
"känsla","A1"
"förändring","A1"
"nämna","A1"
"tyvärr","A1"
"enskild","A1"
"rätt","A1"
"be (el. bedja)","A1"
"punkt","A1"
"ändring","A1"
"mission","A1"
"igår (el. i går)","A1"
"kommission","A1"
"ort","A1"
"anta","A1"
"trots att","A1"
"spel","A1"
"språk","A1"
"föreslå","A1"
"igenom","A1"
"undra","A1"
"eget","A1"
"möte","A1"
"mat","A1"
"gräns","A1"
"lyssna","A1"
"delta","A1"
"samarbete","A1"
"annars","A1"
"falla","A1"
"nära","A1"
"rum","A1"
"ungefär","A1"
"starta","A1"
"inse","A1"
"internet","A1"
"hov","A1"
"öppen","A1"
"bidra","A1"
"död","A1"
"luta","A1"
"öga","A1"
"säkert","A1"
"ämne","A1"
"få","A1"
"augusti","A1"
"socialdemokrat (vardagl. sosse)","A1"
"projekt","A1"
"övrig","A1"
"dels","A1"
"framför allt (el. framförallt)","A1"
"positiv","A1"
"rolig","A1"
"port","A1"
"bero","A1"
"kropp","A1"
"minnas","A1"
"handling","A1"
"rösta","A1"
"riktig","A1"
"rapport","A1"
"lösning","A1"
"personlig","A1"
"kommentera","A1"
"som att","A1"
"gilla","A1"
"bryta","A1"
"hjälp","A1"
"juli","A1"
"innehålla","A1"
"liknande","A1"
"tillfälle","A1"
"inte ens","A1"
"känd","A1"
"forskning","A1"
"kraft","A1"
"helt enkelt","A1"
"brott","A1"
"exempelvis","A1"
"röst","A1"
"bjuda","A1"
"till och med (förk. t.o.m., t o m)","A1"
"hävda","A1"
"hamna","A1"
"effekt","A1"
"enhet","A1"
